xi,fw,blend,rps,logloss,acc
0.0012,0.7,0.45,0.16431116557183745,0.8467011191691584,0.6155994043186895
0.0012,0.7,0.3,0.16431689986132325,0.8468691579652424,0.6157855547282204
0.0012,0.5,0.45,0.16445874519584178,0.8471582091064088,0.6155994043186895
0.0012,0.5,0.3,0.1644637948752274,0.8472765572135996,0.6157855547282204
0.0012,0.7,0.6,0.16451171175518933,0.8475399086102063,0.6157855547282204
0.0012,0.7,0.15,0.16452891482473073,0.8480575950601364,0.6155994043186895
0.0012,1.0,0.45,0.16454414009673374,0.8479919408905825,0.6148548026805659
0.0012,1.0,0.3,0.1646339057174902,0.8485575791769062,0.6152271034996277
0.0012,1.0,0.6,0.16466250763437068,0.8484345505768579,0.6142963514519731
0.0012,0.5,0.6,0.1646628001150366,0.8480459474374026,0.6161578555472822
0.0012,0.5,0.15,0.16467794914230366,0.8484044708547955,0.6133655994043187
0.0012,1.0,0.15,0.1649318044215503,0.8501456817767079,0.6135517498138496
0.0012,0.7,0.0,0.164947210352779,0.8503611192677005,0.6141102010424423
0.0018,0.7,0.3,0.16505622623024832,0.8498273860943225,0.6107594936708861
0.0012,0.5,0.0,0.16510120826868407,0.8506204227114499,0.6107594936708861
0.0018,0.7,0.15,0.16513940960300358,0.8504647085528431,0.6098287416232315
0.0018,0.5,0.3,0.1651407613326452,0.8498682021378254,0.6111317944899479
0.0018,1.0,0.3,0.165192393305683,0.8503642788284937,0.612807148175726
0.0018,0.5,0.15,0.16520700538063793,0.8503896885489315,0.6105733432613552
0.0018,0.7,0.45,0.1652247477820231,0.8503376840792586,0.6096425912137007
0.0018,1.0,0.15,0.16530491779952977,0.8510932401711448,0.6107594936708861
0.0018,1.0,0.45,0.16532838773157008,0.8507566459970181,0.6096425912137007
0.0018,0.5,0.45,0.16532942366747597,0.8505083179092008,0.6094564408041697
0.0012,1.0,0.0,0.16543783620457042,0.8528438025357423,0.6124348473566642
0.0018,0.7,0.0,0.1654742978417728,0.8523161272377627,0.6087118391660462
0.0018,0.5,0.0,0.16552815613471333,0.8521503532230552,0.6103871928518243
0.0024,0.7,0.15,0.16560362595901676,0.85246839239352,0.6088979895755771
0.0018,0.7,0.6,0.16564497434247707,0.8520100961993535,0.6103871928518243
0.0018,1.0,0.0,0.16566596082619975,0.8530069351275534,0.6079672375279226
0.0024,0.7,0.3,0.16569196072671277,0.852511786122631,0.6096425912137007
0.0018,1.0,0.6,0.16571290089232335,0.8522863551737451,0.6092702903946389
0.0024,0.5,0.15,0.1657589975542066,0.8532241284905876,0.6113179448994788
0.0018,0.5,0.6,0.1657729926207281,0.8523218152523385,0.6115040953090097
0.0024,0.7,0.0,0.16582640213987893,0.8538313235725923,0.6077810871183916
0.0024,0.5,0.3,0.16582991584396226,0.8531691210446998,0.6103871928518243
0.0024,1.0,0.15,0.16585270230419064,0.8534920453863444,0.6079672375279226
0.0024,1.0,0.3,0.16589056565339033,0.8534247483900237,0.6092702903946389
0.0024,0.5,0.0,0.16601163923933504,0.854737333153865,0.6079672375279226
0.003,0.5,0.15,0.16602117006753322,0.8541134235932767,0.609084139985108
0.003,0.7,0.15,0.16605462088286363,0.8541794512283537,0.6096425912137007
0.0024,0.7,0.45,0.1660914065822486,0.8538865683665171,0.6094564408041697
0.0024,1.0,0.0,0.1661264254796355,0.8549607558613631,0.6077810871183916
0.003,0.5,0.3,0.1661812302536997,0.854651304693201,0.6094564408041697
0.003,1.0,0.15,0.16620936586357998,0.8558432108180387,0.6081533879374534
0.003,0.7,0.0,0.166224204877525,0.8551631420040706,0.609084139985108
0.0024,0.5,0.45,0.16622439415612128,0.854486819450088,0.6079672375279226
0.0024,1.0,0.45,0.1662400156812359,0.8546789530984441,0.6075949367088608
0.003,0.7,0.3,0.16627613048812892,0.8548987780103002,0.6096425912137007
0.003,0.5,0.0,0.16630042454328137,0.8554246455529204,0.6074087862993298
0.003,1.0,0.3,0.16638596484337156,0.8562356583417964,0.607036485480268
0.003,1.0,0.0,0.16642889329056249,0.8571710444199749,0.6074087862993298
0.003,0.5,0.45,0.16678060503176867,0.8568914730374917,0.6074087862993298
0.0024,0.7,0.6,0.16680196337923778,0.8566175173053242,0.6064780342516753
0.003,0.7,0.45,0.1668887335660674,0.8571974050470853,0.6088979895755771
0.0024,1.0,0.6,0.16690105241192807,0.8572758164510964,0.6057334326135517
0.0024,0.5,0.6,0.1669424324866302,0.8571989460178225,0.6057334326135517
0.003,1.0,0.45,0.16695869029433702,0.8582275717791936,0.6079672375279226
0.003,0.5,0.6,0.1678192944785797,0.8608590362540126,0.6049888309754281
0.003,0.7,0.6,0.16789243027665682,0.8611017017560698,0.6057334326135517
0.003,1.0,0.6,0.16792754229522486,0.8618491533413939,0.6057334326135517
